iter	Passed	Remaining
0	8	818
1	19	965
2	31	1006
3	38	935
4	51	973
5	61	965
6	68	913
7	81	942
8	90	916
9	97	881
10	106	865
11	116	857
12	126	849
13	134	828
14	147	834
15	154	811
16	165	806
17	177	806
18	185	789
19	194	778
20	203	766
21	215	763
22	226	757
23	233	738
24	245	737
25	255	725
26	262	709
27	275	708
28	282	692
29	294	686
30	306	682
31	313	666
32	323	657
33	331	643
34	343	637
35	354	629
36	361	615
37	373	609
38	384	601
39	395	592
40	406	585
41	421	581
42	433	574
43	448	570
44	464	567
45	481	565
46	504	569
47	517	561
48	536	558
49	551	551
50	568	545
51	576	532
52	588	521
53	598	510
54	607	496
55	618	486
56	627	473
57	637	461
58	649	451
59	657	438
60	670	428
61	681	417
62	690	405
63	702	394
64	711	383
65	718	370
66	731	360
67	740	348
68	751	337
69	767	328
70	780	318
71	790	307
72	802	296
73	814	286
74	829	276
75	838	264
76	851	254
77	869	245
78	883	234
79	897	224
80	907	212
81	916	201
82	930	190
83	943	179
84	952	168
85	964	157
86	975	145
87	986	134
88	999	123
89	1013	112
90	1028	101
91	1040	90
92	1049	79
93	1064	67
94	1077	56
95	1088	45
96	1097	33
97	1107	22
98	1116	11
99	1128	0
